usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,acceso_desague_red,y_true,y_score,y_pred
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,2.0,1,pase,adobe,7,0,4,0,area de empadronamiento rural (aer) compuesto,0,0,0.9715813354069925,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,2.0,1,pase,"madera (pona, tornillo, etc)",4,1,1,0,de 2 000 a 19 999 habitantes,0,0,0.7821516943254712,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,5.0,1,conexion fija,adobe,4,0,1,0, de 500 a 1 999 habitantes,1,0,0.5210132463320388,1
1,0,pase,concreto armado,4.0,conexion movil prepago,0,2.0,1,conexion fija,ladrillo o bloque de cemento,5,1,1,0, de 20 000 a 49 999 habitantes,1,0,0.8460572715827994,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,1.0,1,pase,ladrillo o bloque de cemento,4,1,1,0, de 500 a 1 999 habitantes,1,0,0.7525305575152791,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,1.0,1,pase,adobe,4,0,2,0,area de empadronamiento rural (aer) compuesto,0,0,0.9275828092679711,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,1.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,1,0,0.6863247561115233,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,1.0,1,pase,ladrillo o bloque de cemento,1,0,0,1,de 2 000 a 19 999 habitantes,0,0,0.5795240298652464,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,3.0,1,pase,ladrillo o bloque de cemento,5,1,2,0, de 20 000 a 49 999 habitantes,0,0,0.8855407457263587,1
0,1,,"planchas de calamina, fibra de cemento o similares",6.0,,1,1.0,0,,piedra o sillar con cal o cemento,1,0,0,0,area de empadronamiento rural (aer) simple,0,0,0.6341705803755375,1
