variable,descripcion,modulo_fuente,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage_reportado,dimension_inei,dimension_analitica,subdimension,apta_selectkbest,motivo_selectkbest,f_score,p_value,rank_f,significativa_5pct
combustible_limpio,Uso de combustible limpio para cocinar,Modulo01,binaria,int64,0.0,False,False,bajo,Energia,Energia,Electricidad y combustible,True,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.,122.81154262070055,1.6918275598454683e-27,1.0,True
p114b3,Tenencia de dispositivo o servicio digital 3,Modulo01,categorica,category,10.4153,True,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.,107.03454123877262,2.754312546505471e-24,2.0,True
combustible_precario,Uso de combustible precario para cocinar,Modulo01,binaria,int64,0.0,False,False,bajo,Energia,Energia,Electricidad y combustible,True,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.,105.98530589262494,4.5169610482093196e-24,3.0,True
p103a,Material predominante del techo,Modulo01,categorica,category,0.3955,True,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.,95.43346563332211,6.672056738827208e-22,4.0,True
educ_jefe_ord,Nivel educativo ordinal del jefe del hogar,Modulo02/Modulo03,numerica,float64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.,81.9601594193783,4.155951591819796e-19,5.0,True
piso_precario,Indicador de piso precario,Modulo01,binaria,int64,0.0,False,False,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.,62.05179959436011,6.334829369045543e-15,6.0,True
inghog2d,Ingreso neto total del hogar,Sumaria,cuantitativa,float64,0.0,False,False,alto,No aplica,programas_sociales,Programas sociales e ingreso neto,True,Variable solicitada explícitamente para evaluación ANOVA.,61.639713509754046,7.745606314243195e-15,7.0,True
p104,Cantidad de habitaciones,Modulo01,numerica,float64,0.3955,True,False,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.,56.070692428369696,1.1810814254482456e-13,8.0,True
internet_hogar,Acceso a internet en el hogar,Modulo01,binaria,int64,0.0,False,False,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.,50.29846763861613,2.0191638167527874e-12,9.0,True
p1144,Acceso a internet en el hogar,Modulo01,categorica,category,0.0,False,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.,50.29846763861513,2.0191638167537874e-12,10.0,True
tam_hogar,Tamaño del hogar,Sumaria,numerica,int8,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.,46.50045228594945,1.3190127918755304e-11,11.0,True
n_ninos_0_5,Número de niños de 0 a 5 años,Modulo02,numerica,int64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.,45.13229768026472,2.5981104177141243e-11,12.0,True
n_ninos_6_16,Número de niños de 6 a 16 años,Modulo02,numerica,int64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.,44.711014159441305,3.201840599595721e-11,13.0,True
miembros_afiliados_essalud,Miembros afiliados a EsSalud,Modulo04,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.,43.68796937061552,5.320254420022088e-11,14.0,True
ingtpu01,Ingreso por Juntos,Sumaria,cuantitativa,int16,0.0,False,False,medio,No aplica,programas_sociales,Programas sociales e ingreso neto,True,Variable solicitada explícitamente para evaluación ANOVA.,27.27933158347391,2.0055711285892754e-07,15.0,True
acceso_desague_red,Acceso a desagüe por red pública,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.,25.861738673252574,4.1248228949981163e-07,16.0,True
ingtpu05,Ingreso por Bono del Gas,Sumaria,cuantitativa,int16,0.0,False,False,medio,No aplica,programas_sociales,Programas sociales e ingreso neto,True,Variable solicitada explícitamente para evaluación ANOVA.,25.187110082846367,5.817498090569167e-07,17.0,True
agua_segura_proxy,Indicador proxy de agua segura,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.,24.556991644843738,8.02407253428165e-07,18.0,True
ingtpu03,Ingreso por Pensión 65,Sumaria,cuantitativa,int16,0.0,False,False,medio,No aplica,programas_sociales,Programas sociales e ingreso neto,True,Variable solicitada explícitamente para evaluación ANOVA.,23.541372003306932,1.3485805446498706e-06,19.0,True
miembros_sin_atencion_salud,Miembros sin atención en salud,Modulo04,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.,20.7103280699745,5.7692530710160814e-06,20.0,True
