variable_descartar,descripcion_descartar,variable_conservar,descripcion_conservar,dimension_analitica,tipo_redundancia,motivo_decision,f_score_descartar,f_score_conservar,p_value_descartar,p_value_conservar
internet_hogar_enaho,Acceso a internet en el hogar,acceso_internet_hogar_derivado,Acceso a internet en el hogar,Conectividad,duplicado_conceptual,Ambas representan acceso a internet en el hogar; se conserva la derivada binaria por ser más directa para modelado.,50.29846763861513,50.29846763861613,2.019163816753788e-12,2.0191638167527878e-12
hogar_con_ninos_no_asisten,Hogar con niños en edad escolar que no asisten,al_menos_un_6_16_no_asiste,Existe al menos un menor de 6 a 16 años que no asiste,Educacion,duplicado_exacto,Son dos nombres para el mismo indicador binario de no asistencia.,0.2219707739263929,0.2219707739263929,0.637610204694525,0.637610204694525
al_menos_un_6_16_no_asiste,Existe al menos un menor de 6 a 16 años que no asiste,num_6_16_no_asisten,Número de personas de 6 a 16 que no asisten,Educacion,binaria_derivada_de_conteo,La binaria se deriva directamente del conteo y pierde intensidad del fenómeno.,0.2219707739263929,0.0005511251243422,0.637610204694525,0.9812736306902812
hogar_con_ninos_no_matriculados,Hogar con niños en edad escolar no matriculados,al_menos_un_6_16_no_matriculado,Existe al menos un menor de 6 a 16 años no matriculado,Educacion,duplicado_exacto,Son dos nombres para el mismo indicador binario de no matrícula.,3.777213875537812,3.777213875537812,0.052140080027698,0.052140080027698
al_menos_un_6_16_no_matriculado,Existe al menos un menor de 6 a 16 años no matriculado,num_6_16_no_matriculados,Número de personas de 6 a 16 no matriculadas,Educacion,binaria_derivada_de_conteo,La binaria se deriva directamente del conteo y pierde intensidad del fenómeno.,3.777213875537812,2.714404909873279,0.052140080027698,0.0996534190476351
nivel_educativo_jefe_cat,Nivel educativo del jefe del hogar,nivel_educativo_jefe_ord,Nivel educativo ordinal del jefe del hogar,Educacion,misma_variable_distinta_codificacion,Ambas representan el nivel educativo del jefe; se conserva la versión ordinal más estable para selección univariada.,0.0,81.9601594193783,,4.1559515918197964e-19
al_menos_un_ingreso_laboral_hogar,Existe al menos un miembro con ingreso laboral,num_miembros_con_ingreso_laboral,Miembros con ingreso laboral,Empleo y prevision social,binaria_derivada_de_conteo,La binaria se deriva del conteo de miembros con ingreso laboral.,4.10468484209094,1.438948759255846,0.0429395091815728,0.2304970948387635
combustible_principal_cocina,Combustible principal para cocinar,usa_combustible_limpio,Uso de combustible limpio para cocinar,Energia,variable_cruda_vs_recodificacion,La categoría cruda es la fuente de las variables binarias de combustible; se conserva la recodificación más interpretable.,0.0,122.81154262070056,,1.6918275598454683e-27
es_area_rural,Indicador de área rural,estrato_geografico,Estrato geográfico,Geografia y contexto territorial,derivada_de_contexto,es_area_rural es una simplificación derivada de estrato_geografico.,10.635261272975976,12.757806874449663,0.0011341780132913,0.0003656163541396
al_menos_un_enfermedad_4_sem,Existe al menos un miembro con enfermedad en últimas 4 semanas,num_miembros_con_enfermedad_4_sem,Miembros con enfermedad en últimas 4 semanas,Salud,binaria_derivada_de_conteo,La binaria se deriva directamente del conteo de miembros con enfermedad reciente.,9.200071956228868,17.823848893877265,0.0024611877437369,2.5673359085322996e-05
al_menos_un_sintoma_4_sem,Existe al menos un miembro con síntoma o malestar en últimas 4 semanas,num_miembros_con_sintoma_4_sem,Miembros con síntoma o malestar en últimas 4 semanas,Salud,binaria_derivada_de_conteo,La binaria se deriva directamente del conteo de miembros con síntomas recientes.,1.3820969719524443,8.870492644422011,0.2399289937876254,0.0029442354451521
health_no_attention,Hogar con al menos un miembro sin atencion de salud,num_miembros_sin_atencion_salud,Miembros sin atención en salud,Salud,binaria_derivada_de_conteo,La binaria resume el conteo de miembros sin atención en salud.,6.470014262891099,20.7103280699745,0.0110696086133154,5.7692530710160814e-06
agua_segura_proxy,Indicador proxy de agua segura,acceso_agua_red,Acceso a agua por red pública,Servicios basicos,proxy_derivado,El proxy combina acceso_agua_red y agua_potable_reportada; se prefieren las componentes originales explícitas.,24.556991644843738,20.691640891232364,8.02407253428165e-07,5.825063289555122e-06
material_piso_cat,Material predominante del piso,piso_precario,Indicador de piso precario,Vivienda y entorno,variable_cruda_vs_recodificacion,piso_precario resume la condición crítica del material de piso y es más interpretable para clasificación.,0.0,62.05179959436011,,6.334829369045543e-15
monto_total_transferencias_publicas,Ingreso total por transferencias públicas,monto_total_programas_sociales_no_alimentarios,Monto total de programas sociales no alimentarios,programas_sociales,agregado_solapado,El total de transferencias públicas se solapa fuertemente con el agregado de programas no alimentarios en esta muestra.,8.61101199218153,8.801682251035055,0.0033916674032715,0.0030566877178984
monto_total_programas_sociales_alimentarios,Monto total de apoyos sociales alimentarios,monto_bono_alimentario,Ingreso por bono alimentario,programas_sociales,agregado_de_componentes,El agregado alimentario resume variables específicas; se conservan los componentes para distinguir tipos de apoyo.,4.550670803194656,3.932122936666928,0.0330661493479672,0.0475524458528717
monto_total_programas_sociales_no_alimentarios,Monto total de programas sociales no alimentarios,monto_juntos,Ingreso por Juntos,programas_sociales,agregado_de_componentes,El agregado no alimentario resume programas específicos; se conservan los componentes para mantener detalle de política pública.,8.801682251035055,27.27933158347391,0.0030566877178984,2.005571128589276e-07
recibe_programa_social_alimentario,Indicador de recepción de programa social alimentario,monto_bono_alimentario,Ingreso por bono alimentario,programas_sociales,binaria_derivada_de_monto,La recepción binaria se deriva del monto positivo en programas alimentarios.,11.914466782999204,3.932122936666928,0.0005723109854354,0.0475524458528717
recibe_programa_social_no_alimentario,Indicador de recepción de programa social no alimentario,monto_juntos,Ingreso por Juntos,programas_sociales,binaria_derivada_de_monto,La recepción binaria se deriva de montos positivos en programas no alimentarios.,2.928589010829972,27.27933158347391,0.087228206220903,2.005571128589276e-07
