usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,conexion movil prepago,0,20002.326171875,3.0,1,pase,ladrillo o bloque de cemento,4,1,0,0, de 20 000 a 49 999 habitantes,0,1,0,1,0.28839967,0
0,1,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,25072.626953125,3.0,1,pase,ladrillo o bloque de cemento,4,0,0,0,area de empadronamiento rural (aer) compuesto,0,0,0,1,0.22541673,0
0,1,pase,"planchas de calamina, fibra de cemento o similares",4.0,conexion movil prepago,0,12261.5439453125,1.0,1,pase,adobe,1,0,0,0, de 500 a 1 999 habitantes,0,1,0,1,0.14898573,0
0,1,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,29557.435546875,1.0,1,pase,ladrillo o bloque de cemento,4,0,1,3, de 500 000 a más habitantes,0,0,0,1,0.12660022,0
1,0,,"planchas de calamina, fibra de cemento o similares",6.0,,0,11657.9248046875,1.0,0,,"madera (pona, tornillo, etc)",1,0,0,0, de 500 000 a más habitantes,0,0,0,1,0.03002711,0
1,0,,"planchas de calamina, fibra de cemento o similares",4.0,,1,26919.916015625,1.0,0,,piedra con barro,2,0,0,0,area de empadronamiento rural (aer) simple,0,0,303,1,0.09008156,0
0,1,,"planchas de calamina, fibra de cemento o similares",5.0,,0,17237.072265625,3.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,0,area de empadronamiento rural (aer) compuesto,0,0,0,1,0.012419503,0
0,1,,"planchas de calamina, fibra de cemento o similares",6.0,,1,69384.96875,3.0,1,conexion fija,adobe,6,0,2,1, de 500 a 1 999 habitantes,1216,0,0,1,0.015739031,0
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",4.0,conexion movil prepago,0,35193.98828125,1.0,1,pase,adobe,4,1,0,1, de 500 a 1 999 habitantes,0,0,0,1,0.13493653,0
1,0,,tejas,3.0,,0,4399.609375,1.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 500 a 1 999 habitantes,0,1,308,1,0.054997727,0
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,20358.38671875,2.0,1,pase,ladrillo o bloque de cemento,3,1,0,0, de 500 000 a más habitantes,1190,0,0,1,0.2892964,0
0,1,,concreto armado,5.0,,0,13679.259765625,3.0,0,,ladrillo o bloque de cemento,3,0,2,0,de 2 000 a 19 999 habitantes,0,1,0,1,0.11903961,0
