variable,descripcion,modulo_fuente,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage_reportado,dimension_inei,dimension_analitica,subdimension,apta_selectkbest,motivo_selectkbest
internet_hogar,Acceso a internet en el hogar,Modulo01,binaria,int64,0.0,False,False,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p1141,Acceso a tecnología/comunicación 1 en el hogar,Modulo01,categorica,category,0.0,False,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,False,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p1142,Acceso a tecnología/comunicación 2 en el hogar,Modulo01,categorica,category,0.0,False,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,False,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p1143,Acceso a tecnología/comunicación 3 en el hogar,Modulo01,categorica,category,0.0,False,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,False,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p1144,Acceso a internet en el hogar,Modulo01,categorica,category,0.0,False,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p1145,Acceso a tecnología/comunicación 5 en el hogar,Modulo01,categorica,category,0.0,False,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,False,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p114b1,Tenencia de dispositivo o servicio digital 1,Modulo01,categorica,category,8.8991,True,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p114b2,Tenencia de dispositivo o servicio digital 2,Modulo01,categorica,category,10.4153,True,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
p114b3,Tenencia de dispositivo o servicio digital 3,Modulo01,categorica,category,10.4153,True,True,bajo,Conectividad,Conectividad,Acceso digital y equipamiento TIC,True,Mantener variables de conectividad final o de equipamiento digital con interpretación clara.
edad_jefe,Edad del jefe del hogar,Modulo02,numerica,float64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.
n_adultos_65_mas,Número de adultos de 65 años o más,Modulo02,numerica,int64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.
n_ninos_0_5,Número de niños de 0 a 5 años,Modulo02,numerica,int64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.
n_ninos_6_16,Número de niños de 6 a 16 años,Modulo02,numerica,int64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.
sexo_jefe_bin,Sexo del jefe del hogar,Modulo02,binaria,int64,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.
tam_hogar,Tamaño del hogar,Sumaria,numerica,int8,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,True,Variable estructural del hogar; totmieho es redundante con tam_hogar.
totmieho,Total de personas en el hogar,Sumaria,numerica,int8,0.0,False,False,bajo,No aplica,Demografia y composicion del hogar,Estructura demografica,False,Variable estructural del hogar; totmieho es redundante con tam_hogar.
any_6_16_no_asisten,Existe al menos un menor de 6 a 16 años que no asiste,Modulo03,binaria,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
any_6_16_no_matriculados,Existe al menos un menor de 6 a 16 años no matriculado,Modulo03,binaria,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
children_not_attending,Hogar con niños en edad escolar que no asisten,Modulo03,binaria,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
children_not_enrolled,Hogar con niños en edad escolar no matriculados,Modulo03,binaria,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
educ_jefe,Nivel educativo del jefe del hogar,Modulo02/Modulo03,categorica,str,0.0,False,True,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
educ_jefe_ord,Nivel educativo ordinal del jefe del hogar,Modulo02/Modulo03,numerica,float64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
n_6_16_matriculados,Número de personas de 6 a 16 matriculadas,Modulo03,numerica,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,False,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
n_6_16_no_asisten,Número de personas de 6 a 16 que no asisten,Modulo03,numerica,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
n_6_16_no_matriculados,Número de personas de 6 a 16 no matriculadas,Modulo03,numerica,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,True,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
n_6_16_total,Número total de personas de 6 a 16 años,Modulo03,numerica,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,False,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
personas_con_mod_educ,personas_con_mod_educ,Modulo01,numerica,int64,0.0,False,False,bajo,Educacion,Educacion,Capital educativo y asistencia escolar,False,Mantener variables con señal de privación; evitar conteos auxiliares redundantes si fuera necesario.
any_ingreso_laboral_hogar,Existe al menos un miembro con ingreso laboral,Modulo05,binaria,int64,0.0,False,False,bajo,Empleo y Prevision Social,Empleo y prevision social,Participación laboral e ingresos del trabajo,True,Variables adecuadas para ML cuando no son montos monetarios directos.
jefe_con_ingreso_laboral,Jefe del hogar con ingreso laboral,Modulo05,binaria,int64,0.0,False,False,bajo,Empleo y Prevision Social,Empleo y prevision social,Participación laboral e ingresos del trabajo,True,Variables adecuadas para ML cuando no son montos monetarios directos.
miembros_con_ingreso_laboral,Miembros con ingreso laboral,Modulo05,numerica,int64,0.0,False,False,bajo,Empleo y Prevision Social,Empleo y prevision social,Participación laboral e ingresos del trabajo,True,Variables adecuadas para ML cuando no son montos monetarios directos.
num_perceptores,Número de perceptores del hogar,Sumaria,numerica,int8,0.0,False,False,bajo,Empleo y Prevision Social,Empleo y prevision social,Participación laboral e ingresos del trabajo,True,Variables adecuadas para ML cuando no son montos monetarios directos.
personas_con_mod_empleo,personas_con_mod_empleo,Modulo01,numerica,int64,0.0,False,False,bajo,Empleo y Prevision Social,Empleo y prevision social,Participación laboral e ingresos del trabajo,False,Variables adecuadas para ML cuando no son montos monetarios directos.
acceso_electricidad,Acceso a electricidad,Modulo01,binaria,int64,0.0,False,False,bajo,Energia,Energia,Electricidad y combustible,True,Priorizar acceso a electricidad y calidad del combustible; otros p113* son auxiliares de equipamiento/uso.
