hogar_id,conglome,vivienda,hogar,ubigeo,factor_expansion_anual,target_pobreza_monetaria_bin,usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,monto_pension_65,num_miembros_sin_atencion_salud,acceso_agua_red,num_miembros_con_enfermedad_4_sem,monto_programa_contigo,agua_potable_reportada,tipo_vivienda,monto_otras_transferencias_publicas,monto_bono_electricidad,num_miembros_con_sintoma_4_sem
040104_005480_006_11,005480,006,11,040104,212.44038,0,1,0,conexion movil post pago control,concreto armado,1.0,pase,0,91674.125,4.0,1,conexion fija,ladrillo o bloque de cemento,5,0,1,3, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040104_005480_021_11,005480,021,11,040104,212.44038,0,1,0,conexion movil post pago control,concreto armado,4.0,pase,0,63361.07421875,2.0,1,conexion fija,ladrillo o bloque de cemento,4,0,0,2, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040104_005480_051_11,005480,051,11,040104,212.44038,0,1,0,pase,concreto armado,6.0,pase,0,53880.421875,3.0,1,conexion fija,ladrillo o bloque de cemento,4,0,2,0, de 500 000 a más habitantes,0,1,0,0,2,1,0,0,1,casa independiente,0,0,2
040104_005480_063_11,005480,063,11,040104,212.44038,0,1,0,conexion movil post pago control,concreto armado,9.0,pase,0,49310.07421875,4.0,1,pase,ladrillo o bloque de cemento,6,0,2,0, de 500 000 a más habitantes,0,1,0,0,4,1,0,0,1,casa independiente,0,0,4
040104_005480_079_11,005480,079,11,040104,212.44038,0,1,0,,"planchas de calamina, fibra de cemento o similares",6.0,,0,35882.44921875,1.0,0,,ladrillo o bloque de cemento,1,0,0,1, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,1
040104_005480_094_11,005480,094,11,040104,212.44038,0,1,0,conexion movil post pago control,concreto armado,6.0,conexion movil prepago,0,22370.80078125,3.0,1,conexion fija,ladrillo o bloque de cemento,3,0,1,0, de 500 000 a más habitantes,0,1,0,1555,3,1,0,0,1,casa independiente,0,0,3
040103_005511_013_11,005511,013,11,040103,803.9254,0,1,0,conexion movil post pago control,concreto armado,7.0,pase,0,84712.8359375,4.0,1,conexion fija,ladrillo o bloque de cemento,3,0,1,3, de 500 000 a más habitantes,0,1,0,0,1,1,0,0,1,"vivienda en casa de vecindad (callejon, solar o corralon)",0,0,1
040103_005511_032_11,005511,032,11,040103,803.9254,1,1,0,pase,concreto armado,6.0,conexion movil prepago,0,55479.0,4.0,1,conexion fija,piedra o sillar con cal o cemento,9,0,0,1, de 500 000 a más habitantes,0,1,0,0,5,1,1,0,1,casa independiente,0,0,4
040103_005511_048_11,005511,048,11,040103,803.9254,0,1,0,pase,concreto armado,4.0,conexion movil prepago,0,33102.62890625,4.0,1,conexion fija,ladrillo o bloque de cemento,4,0,0,1, de 500 000 a más habitantes,0,1,0,0,3,1,1,0,1,casa independiente,0,0,3
040103_005511_065_11,005511,065,11,040103,803.9254,0,1,0,conexion movil post pago control,concreto armado,6.0,pase,0,27962.529296875,4.0,1,conexion fija,ladrillo o bloque de cemento,3,0,0,2, de 500 000 a más habitantes,0,1,0,0,0,1,0,0,1,casa independiente,0,0,0
