usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,59882.25390625,2.0,1,pase,adobe,7,0,4,0,area de empadronamiento rural (aer) compuesto,0,0,0,0,0.54839283,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,30944.251953125,2.0,1,pase,"madera (pona, tornillo, etc)",4,1,1,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.44489172,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,12836.060546875,5.0,1,conexion fija,adobe,4,0,1,0, de 500 a 1 999 habitantes,0,1,0,0,0.769712,1
1,0,pase,concreto armado,4.0,conexion movil prepago,0,53502.43359375,2.0,1,conexion fija,ladrillo o bloque de cemento,5,1,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.68687344,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,20567.216796875,1.0,1,pase,adobe,4,0,2,0,area de empadronamiento rural (aer) compuesto,0,0,0,0,0.3872515,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,28063.771484375,3.0,1,pase,ladrillo o bloque de cemento,5,1,2,0, de 20 000 a 49 999 habitantes,1216,0,0,0,0.42108354,1
0,1,,"planchas de calamina, fibra de cemento o similares",6.0,,1,5369.2705078125,1.0,0,,piedra o sillar con cal o cemento,1,0,0,0,area de empadronamiento rural (aer) simple,0,0,0,0,0.48525476,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",1.0,conexion movil prepago,0,6805.9208984375,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.8065144,1
1,0,conexion movil post pago control,concreto armado,6.0,conexion movil prepago,0,24914.171875,2.0,1,pase,ladrillo o bloque de cemento,5,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.75787103,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,15462.7060546875,1.0,1,pase,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.40391722,1
